ms,discovered,discovered_others
12074,1,0
24062,4,3
36072,6,5
48071,6,5
60052,11,10
72054,11,10
84066,11,10
96083,11,10
108022,11,10
120063,11,10
132022,11,10
144081,12,11
156030,12,11
168036,12,11
180030,12,11
192029,12,11
204032,12,11
216057,12,11
228078,12,11
240023,12,11
252061,12,11
264062,12,11
276061,12,11
288045,12,11
300084,12,11
312065,12,11
324061,12,11
336043,12,11
348032,12,11
360030,12,11
372058,12,11
384024,12,11
396040,12,11
408045,12,11
420052,12,11
432033,12,11
444057,12,11
456031,12,11
468048,12,11
480036,12,11
492061,12,11
504045,12,11
516045,12,11
528038,12,11
540037,12,11
552087,12,11
564051,12,11
576068,12,11
588054,12,11
600054,12,11
612082,12,11
624047,12,11
636060,12,11
648027,12,11
660031,12,11
672038,12,11
684068,12,11
696023,12,11
708050,12,11
720021,12,11
732031,12,11
744067,12,11
756032,12,11
768071,12,11
780070,12,11
792069,12,11
804047,12,11
816051,12,11
828028,12,11
840067,12,11
852067,12,11
864075,12,11
876085,12,11
888045,12,11
900045,12,11
912083,12,11
924071,12,11
936080,12,11
948044,12,11
960040,12,11
972056,12,11
984085,12,11
996075,12,11
1008047,12,11
1020048,12,11
1032062,12,11
1044036,12,11
1056052,12,11
1068070,12,11
1080020,12,11
1092058,12,11
1104041,12,11
1116078,12,11
1128020,12,11
1140064,12,11
1152076,12,11
1164031,12,11
1176041,12,11
1188066,12,11
1200048,12,11
1212043,12,11
1224061,12,11
1236027,12,11
1248056,12,11
1260064,12,11
1272070,12,11
1284032,12,11
1296055,12,11
1308085,12,11
1320036,12,11
1332047,12,11
1344041,12,11
1356020,12,11
1368080,12,11
1380037,12,11
1392077,12,11
1404081,12,11
1416080,12,11
1428067,12,11
1440029,12,11
1452044,12,11
1464051,12,11
1476038,12,11
1488030,12,11
1500077,12,11
1512078,12,11
1524061,13,12
1536056,13,12
1548077,13,12
1560038,13,12
1572056,13,12
1584036,13,12
1596051,13,12
1608062,13,12
1620065,13,12
1632069,13,12
1644078,13,12
1656071,13,12
1668041,13,12
1680028,13,12
1692021,13,12
1704053,13,12
1716020,13,12
1728078,13,12
1740070,13,12
1752066,13,12
1764045,13,12
1776066,13,12
1788078,13,12
1800077,13,12
1812080,13,12
1824025,13,12
1836071,13,12
1848063,13,12
1860082,13,12
1872037,13,12
1884039,13,12
1896027,13,12
1908041,13,12
1920072,13,12
1932022,13,12
1944040,13,12
1956045,13,12
1968076,13,12
1980048,13,12
1992052,13,12
2004061,13,12
2016026,13,12
2028061,13,12
2040071,13,12
2052059,13,12
2064024,13,12
2076046,13,12
2088035,13,12
2100025,13,12
2112074,13,12
2124039,13,12
2136038,13,12
2148050,13,12
2160073,13,12
2172068,13,12
2184043,13,12
2196030,13,12
2208047,13,12
2220041,13,12
2232058,13,12
2244035,13,12
2256046,13,12
2268021,13,12
2280049,13,12
2292066,13,12
2304041,13,12
2316068,13,12
2328040,13,12
2340048,13,12
2352035,13,12
2364055,13,12
2376031,13,12
2388047,13,12
2400082,13,12
2412070,13,12
2424088,13,12
2436043,13,12
2448037,13,12
2460055,13,12
2472045,13,12
2484021,13,12
2496041,13,12
2508020,13,12
2520074,13,12
2532061,13,12
2544045,13,12
2556022,13,12
2568063,13,12
2580022,13,12
2592076,13,12
2604028,13,12
2616022,13,12
2628082,13,12
2640061,13,12
2652070,13,12
2664061,13,12
2676036,13,12
2688043,13,12
2700030,13,12
2712041,13,12
2724077,13,12
2736083,13,12
2748076,13,12
2760024,13,12
2772064,13,12
2784067,13,12
2796029,13,12
2808063,13,12
2820026,13,12
2832074,13,12
2844076,13,12
2856074,13,12
2868081,13,12
2880071,13,12
2892074,13,12
2904085,13,12
2916041,13,12
2928052,13,12
2940081,13,12
2952067,13,12
2964061,13,12
2976029,13,12
2988023,13,12
3000024,13,12
3012047,13,12
3024021,13,12
3036069,13,12
3048048,13,12
3060078,13,12
3072046,13,12
3084071,13,12
3096066,13,12
3108032,13,12
3120058,13,12
3132025,13,12
3144058,13,12
3156034,13,12
3168045,13,12
3180037,13,12
3192032,13,12
3204028,17,16
3216037,17,16
3228021,17,16
3240036,17,16
3252073,17,16
3264052,17,16
3276024,17,16
3288026,17,16
3300083,17,16
3312024,17,16
3324040,17,16
3336021,17,16
3348050,17,16
3360076,17,16
3372029,17,16
3384038,17,16
3396075,17,16
3408047,17,16
3420024,17,16
3432032,17,16
3444078,17,16
3456075,17,16
3468057,17,16
3480020,17,16
3492041,17,16
3504021,17,16
3516077,17,16
3528019,17,16
3540074,17,16
3552025,17,16
3564063,17,16
3576054,17,16
3588047,17,16
3600050,17,16
3612067,17,16
3624054,17,16
3636041,17,16
3648070,17,16
3660026,17,16
3672052,17,16
3684027,17,16
3696077,17,16
3708056,17,16
3720027,17,16
3732061,17,16
3744022,17,16
3756043,17,16
3768024,17,16
3780023,17,16
3792056,17,16
3804075,17,16
3816078,17,16
3828020,17,16
3840074,17,16
3852034,17,16
3864024,17,16
3876035,17,16
3888060,17,16
3900064,17,16
3912046,17,16
3924020,18,17
3936071,18,17
3948021,18,17
3960052,18,17
3972038,18,17
3984077,18,17
3996024,18,17
4008051,18,17
4020083,18,17
4032067,18,17
4044073,18,17
4056068,18,17
4068040,18,17
4080080,18,17
4092038,18,17
4104052,18,17
4116021,18,17
4128032,18,17
4140058,18,17
4152071,18,17
4164035,18,17
4176057,18,17
4188025,18,17
4200077,18,17
4212055,18,17
4224057,18,17
4236044,18,17
4248055,18,17
4260079,18,17
4272054,18,17
4284024,18,17
4296057,18,17
4308046,18,17
4320021,18,17
4332065,18,17
4344021,18,17
4356056,18,17
4368054,18,17
4380038,18,17
4392039,18,17
4404023,18,17
4416045,18,17
4428048,18,17
4440027,18,17
4452021,18,17
4464052,18,17
4476073,18,17
4488040,18,17
4500048,18,17
4512072,18,17
4524036,18,17
4536036,18,17
4548057,18,17
4560076,18,17
4572026,18,17
4584035,18,17
4596057,18,17
4608071,18,17
4620062,18,17
4632039,18,17
4644063,18,17
4656044,18,17
4668074,18,17
4680044,18,17
4692036,18,17
4704037,18,17
4716063,18,17
4728045,18,17
4740073,18,17
4752038,18,17
4764020,18,17
4776044,18,17
4788046,18,17
4800028,18,17
4812084,18,17
4824036,18,17
4836046,18,17
4848023,18,17
4860037,18,17
4872051,18,17
4884045,18,17
4896062,18,17
4908056,18,17
4920039,18,17
4932065,18,17
4944052,18,17
4956048,18,17
4968062,18,17
4980077,18,17
4992032,18,17
5004070,18,17
5016079,18,17
5028025,18,17
5040054,18,17
5052078,18,17
5064023,18,17
5076031,18,17
5088033,18,17
5100023,18,17
5112034,18,17
5124020,18,17
5136042,18,17
5148020,18,17
5160079,18,17
5172021,18,17
5184033,18,17
5196032,18,17
5208046,18,17
5220081,18,17
5232081,18,17
5244050,18,17
5256079,18,17
5268048,18,17
5280042,18,17
5292056,18,17
5304021,18,17
5316031,18,17
5328037,18,17
5340027,18,17
5352040,18,17
5364021,18,17
5376058,18,17
5388025,18,17
5400075,18,17
5412063,18,17
5424056,18,17
5436030,18,17
5448024,18,17
5460043,18,17
5472066,18,17
5484023,18,17
5496036,18,17
5508076,18,17
5520022,18,17
5532068,18,17
5544033,18,17
5556047,18,17
5568061,18,17
5580070,18,17
5592054,18,17
5604071,18,17
5616041,18,17
5628048,18,17
5640064,18,17
5652070,18,17
5664063,18,17
5676061,18,17
5688034,18,17
5700061,18,17
5712063,18,17
5724047,18,17
5736085,18,17
5748021,18,17
5760020,18,17
5772053,18,17
5784022,18,17
5796053,18,17
5808063,18,17
5820068,18,17
5832023,18,17
5844056,18,17
5856053,18,17
5868054,18,17
5880066,18,17
5892030,18,17
5904037,18,17
5916038,18,17
5928065,18,17
5940061,18,17
5952064,18,17
5964045,18,17
5976040,18,17
5988023,18,17
6000071,18,17
6012026,18,17
